id,text
1140,"He glanced at Harry and then looked quickly out of the window, pretending he hadn't looked."
36527,The last trace of steam evaporated in the autumn air.
36521,"But how the doors were slamming all along the scarlet train, and the blurred outlines of parents swarming forward for final kisses, last-minute reminders, Albus jumped into the carriage and Ginny closed the door behind him."
36406,Haven't you noticed how none of the spells you put on them are binding?
36395,"Harry watched with terror and elation as Molly Weasley's wand slashed and twisted, and Bellatrix Lestrange's smile faltered and became a snarl."
36383,"Harry pulled the Invisibility Cloak from inside his robes, swung it over himself, and sprang to his feet, as Neville moved too.In one swift, fluid motion, Neville broke free of the Body-Bind Curse upon him; the flaming hat fell off him and he drew from its depths something silver, with a glittering, rubied handle - The slash of the silver blade could not be heard over the roar of the oncoming crowd or the sounds of the clashing giants or of the stampeding centaurs, and yet, it seemed to draw every eye."
36302,"Leaving this place would not be nearly as hard as walking into the forest had been, but it was warm and light and peaceful here, and he knew that he was heading back to pain and the fear of more loss."
36225,"Did I know, in my heart of hearts, what Gellert Grindelwald was?"
36207,It seemed that he forced himself to meet Harry's eyes.
36203,"I had long since given up my dream of uniting the Hallows, but I could not resist, could not help taking a closer look...."
36175,Harry had no idea what this meant; Dumbledore was being infuriating.
36154,"What you must understand, Harry, is that you and Lord Voldemort have journeyed together into realms of magic hitherto unknown and untested."
36029,"They resembled most closely the Riddle that had escaped from the diary so long ago, and he had been memory made nearly solid."
36005,"He and Voldemort and Snape, the abandoned boys, had all found home here...."
35930,"How many would there be time for, as he rose and walked through the castle for the last time, out into the grounds and into the forest?"
35800,"Snape seemed to shrink a little, ""You do not care, then, about the deaths of her husband and child?"
35776,"But Harry kept his distance this time, because he knew what happened after James had hoisted Severus into the air and taunted him; he knew what had been done and said, and it gave him no pleasure to hear it again..."
35773,"The moment she had insulted James Potter, his whole body had relaxed, and as they walked away there was a new spring in Snape's step..."
35736,She glanced at him and then looked back out of the window.
35729,Lily gave herself away by half-glancing toward where Snape stood nearby.
35640,"As Ginny and Hermione moved closer to the rest of the family, Harry had a clear view of the bodies lying next to Fred."
35575,The stab of rage felt like a spike driven through Harry's head: he forced his own fist into his mouth to stop himself from crying out in pain.
35500,"He knows I'm after Horcruxes ¨C he's keeping Nagini close beside him ¨C obviously I'm going to have to go to him to get near the thing¨C""""Right,"" said Ron, squaring his shoulders."
35478,"He closed his eyes on her command, and at once, the screams and bangs and all the discordant sounds of the battle were drowned until they became distant, as though he stood far, far away from them..."
35473,Hermione screamed.She had pulled Ron behind a tapestry.
35395,"We can't order them to die for us ¨C ""There was a clatter as the basilisk fangs cascaded out of Hermione's arms."
35391,"Ginny,"" said Harry, ""I'm sorry, but we need you to leave too."
35370,"Harry hurtled around a corner and found Fred and a small knot of students, including Lee Jordan and Hannah Abbott, standing beside another empty plinth, whose statue had concealed a secret passageway."
35345,"It was five minutes until midnight, and though he now knew what the last Horcrux was, he was no closer to discovering where it was..."
35296,"He could not see Ron's of Hermione's names anywhere on it, though the density of the crowd of dots now making its way to the Room of Requirement might, he thought, be concealing them."
35204,"Harry, about to curse Snape, was forced to pull Luna out of the way of the descending flames, which became a ring of fire that filled the corridor and flew like a lasso at Snape¨C Then it was no longer fire, but a great black serpent that McGonagall blasted to smoke, which re-formed and solidified in seconds to become a swarm of pursuing daggers."
35184,"Of course, something will have to be done about Professor Snape¨C""""Let me ¨C""""¨Cand if Hogwarts is about to enter a state of siege, with the Dark Lord at the gates, it would indeed be advisable to take as many innocent people out of the way as possible."
35179,"Amycus got up, walked over to his sister, picked up her wand, then shuffled obediently to Professor McGonagall and handed it over along with his own."
35158,"We can push it off on the kids,"" said Amycus, his pig like face suddenly crafty."
35157,Professor McGonagall stood up and her beady eyes swept the room.
35126,"The statue stood beside a door that led, he guessed, to dormitories above."
35096,"If you'd like to see what the diadem's supposed to look like, I could take you up to our common room and show you, Harry."
35078,"Secrets and lies, that's how we grew up, and Albus ... he was a natural ..."
35012,"Yeah, well, I couldn't ask people to go through what Michael did, so we dropped those kinds of stunts."
34979,"Neville held out his hand to Hermione and helped her to climb up onto the mantelpiece and into the tunnel; Ron followed, then Neville."
34944,"He didn't like that."" said Aberforth, and his eyes were briefly occluded by the fireflight on the lenses of his glasses: They turned white and blind again."
34917,"When my sister was six years old, she was attacked, by three Muggle boys."
34872,"Harry approached him looking up into the face: trying to see past the long, stringy, wire-gray hair beard."
34823,Harry's eyes flew open as he wrenched himself back to the present.
34820,Didn't their stupidity and carelessness prove how unwise it was ever to trust?
34816,"Their abandoned home was, perhaps, the least secure of his hiding places, it was there that he would go first..."
34697,"Hide,"" said Harry as he pointed his wand at Bogrod, who whistled to summon a little cart that came trundling along the tracks toward them out of the darkness."
34691,"I am aware of the instructions, Madam Lestrange wishes to visit her vault ..."
34678,"Hermione, Ron, and Travers headed toward an old goblin who was examining a thick gold coin through an eyeglass."
34658,"Though the Death Eater looked offended, he also seemed less suspicious."
34618,"The dawn was chilly, but there was little wind now that it was May."
34597,"She was out on the back lawn at that moment, testing its capabilities in the late afternoon sun."
34574,"It was a statement, not a question, and Harry did not bother to deny it."
34559,"Lupin,"" muttered Bill, and he ran to the door and wrenched it open.Lupin fell over the threshold."
34534,"Anyway,"" Fleur went on, pointing her want at a pot of sauce on the stove, which began to bubble at once, ""Mr. Ollivander leaves for Muriel's zis evening."
34531,"Even after his legs had mended, he continued to request trays of food in his room, like the still-frail Ollivander, until Bill (following an angry outburst from Fleur) went upstairs to tell him that the arrangement could not continue."
34475,"Dumbledore wouldn't come back as a ghost,"" said Harry."
34394,"I was forced to make this shortly after my kidnapping, for Peter Pettigrew."
34386,"Oh yes, if you are any wizard at all you will be able to channel your magic through almost any instrument."
34362,The hands that lay upon the blanket could have belonged to a skeleton.
34351,"They were his most devoted servants before he fell, and they went looking for him after he vanished."
34189,"The chandelier crashed to the floor in an explosion of crystal and chains, falling on top of Hermione and the goblin, who still clutched the sword of Gryffindor."
34168,"No ¨C ""Without pausing to think, Harry tried to drag back the hand, but there was no stopping it."
34036,"No,"" snarled Greyback, ""I haven't got ¨C they say he's using the Malfoy's place as a base."
33991,"I'b Bardy,"" said Ron, and Harry could tell that his mouth was full of blood."
33980,"Harry clutched at his excruciatingly painful face, which felt unrecognizable beneath his fingers, tight, swollen, and puffy as though he had suffered some violent allergic reaction."
33899,"The truth was that she was scared of the idea of the Deathly Hallows, especially of the Resurrection Stone...and Harry pressed his mouth again to the Snitch, kissing it, nearly swallowing it, but the cold medal did not yield..."
33881,"That symbol doesn't mean anything, forget the Deathly Hallows, we can't afford to get sidetracked ¨C""Harry was barely listening to her."
33871,"Harry watched the cloudy sky, curves of smoke-gray and silver sliding over the face of the white moon."
33866,"If Voldemort had known about the Deathly Hallows, surely he would have sought them, done anything to possess them: three objects that made the possessor master of Death?"
33848,He had never seen anything to equal it in his nearly seven years in the Wizarding world.
33842,"And he saw himself, possessor of the Hallows, facing Voldemort, whose Horcruxes were no match..."
33705,The one good thing about her exasperation with Xenophilius was that it seemed to have made her forget that she was annoyed at Ron.
33558,"All's fair in love and war,"" said Ron brightly, ""and this is a bit of both."
33519,"Oh yeah,"" said Ron at once, ""people are talking about it quite a lot."
33508,"Ron looked a little embarrassed, but said in a low voice, ""Dumbledore... the doe?"
33492,He tugged open a buckle on his rucksack and pulled a short dark wand out of his pocket.
33466,"One thing I would like to know, though,"" she said, fixing her eyes on a spot a foot over Ron's head."
33409,The sound of his name seemed to act like a stimulant.
33281,"He closed his eyes at her touch, and hated himself for wishing that what she said was true: that Dumbledore had really cared."
33267,"He did not want to let his anger spill out at her, but it was hard to keep his voice steady."
33210,"As Grindelwald never extended his campaign of terror to Britain, however, the details of his rise to power are not widely known here.Educated at Durmstrang, a school famous even then for its unfortunate tolerance of the Dark Arts, Grindelwald showed himself quite as precociously brilliant as Dumbledore."
33195,"Dumbledore intended, next, to take a Grand Tour with Elphias ""Dogbreath"" Doge, the dim-witted but devoted sidekick he had picked up at school.The two young men were staying at the Leaky Cauldron in London, preparing to depart for Greece the following morning, when an owl arrived bearing news of Dumbledore's mother's death."
33182,"You said everything, even if you don't remember it."
33150,"Hermione's wand gave a little jerk, but did not leave her hand."
33096,"He could have forced her away from the crib, but it seemed more prudent to finish them all..."
33088,"The green light filled the cramped hallway, it lit the pram pushed against the wall, it made the banisters glow like lighting rods, and James Potter fell like a marionette whose strings were cut..."
33072,"And he was gliding along, that sense of purpose and power and rightness in him that he always knew on these occasions..."
32975,Harry thought of A History of Magic; the graveyard was supposed to be haunted; what if ¨C?
32907,"After Hermione had gone to bed that night, Harry quietly extracted his rucksack from Hermione's beaded bag, and from inside it, the photograph album Hagrid had given him so long ago."
32760,"Still blindfolded, he began groping the side of his frame, trying to feel his way out of his picture and back into the one at Hogwarts."
32743,When they spoke again it was to discuss whether they ought to sleep on the back or retreat back up the wooded slope.
32585,"Harry's voice was high, clear, and cold, his wand held in front of him by a long-fingered white hand."
32540,Harry looked over at Hermione and the question he had been about to ask ¨C about whether Mrs. Cattermole's lack of a wand would prevent her Apparating alongside her husband ¨C died in his throat.
32513,"Umbridge had stuck it to her office door, to spy on people."
32461,"If they emerged into the Atrium with a silver stag, and otter soaring alongside it, and twenty or so people, half of them accused Muggle-borns, he could not help feeling that they would attract unwanted attention."
32452,"Patronuses,"" said Harry, pointing his wand at his own."
32441,"Below, the fluffy silver cat patrolled up and down, and the dementors stood waiting in the corners.It was Umbridge's lie that brought the blood surging into Harry's brain and obliterated his sense of caution ¨C that the locket she had taken as a bribe from a petty criminal was being used to bolster her own pure-blood credentials."
32431,She cried harder than ever.Umbridge laughed a soft girlish laugh that made Harry want to attack her.
32411,"Fight it, he told himself, but he knew that he could not conjure a Patronus here without revealing himself instantly."
32384,"He addressed Mr. Weasley's shoulder, and Harry felt sure he was scared that his father might recognize him if they looked directly into each other's eyes."
32357,A little pink note was stuck to it with a picture of a kitten in the corner.
32336,"A few moments later, during which Harry waited with his hand upon the doorknob, there came a loud bang and a great deal of acrid smoke billowed from a corner."
32288,"With a nod and unpleasant smile to Harry, who was evidently expected to appreciate this treatment of Cattermole, Yaxley swept away toward another lift."
32264,The great Atrium seemed darker than Harry remembered it.
32245,"I'm sorry to hear you're under the weather,"" said Hermione, talking firmly over the little wizard and he tried to expound upon his problems; it was essential to stop him from reaching the street."
32213,"Hermione cried, her voice echoing through the bathroom."
32186,"If anyone shouldn't go, it's Harry, he's got a ten-thousand-Galleon price on his head ¨C """"Fine, I'll stay here,"" said Harry."
32183,"All right,"" said Ron slowly, ""let's say we go for it tomorrow ..."
32180,"He could tell from Ron's and Hermione's faces that they were scared; he was not particularly confident himself, and yet he was sure the time had come to put their plan into operation.They had spent the previous four weeks taking it in turns to don the Invisibility Cloak and spy on the official entrance to the Ministry, which Ron, thanks to Mr. Weasley, had known since childhood."
32173,"Dad always told us most Ministry people use the Floo Network to get to work,"" Ron said."
32120,"Kreacher apologizes for the delay in bringing the thief, Master,"" croaked the elf."
32043,"I thought you'd say that,"" said Lupin, looking disappointed."
31932,"Kreacher cried for Master Regulus to save him, he cried for his Mistress Black, but the Dark Lord only laughed ..."
31868,"The Black family crest was painstakingly painted over the bed, along with its motto, TOUJOURS PUR."
31852,"Hermione,"" he said, and he was surprised that his voice was so calm."
31843,He told Hermione everything that Muriel had told him.
31838,There was a little too much understanding in the smile Hermione gave him for Harry's liking.
31765,"He pushed open the door, holding his wand high to cast light as widely as possible."
31734,"Ron had had a fit of gallantry and insisted that Hermione sleep on the cushions from the sofa, so that her silhouette was raised above his."
31699,"We didn't kill you ¨C ""On the word kill, the figure exploded in a great cloud of dust: Coughing, his eyes watering, Harry looked around to see Hermione crouched on the floor by the door with her arms over her head, and Ron, who was shaking from head to foot, patting her clumsily on the shoulder and saying, ""It's all r-right...."
31589,"Yes I was,"" said Doge, through trembling lips, ""and a more desperately sad occasion I cannot remember."
31559,"Fred and George had long since disappeared into the darkness with a pair of Fleur's cousins; Charlie, Hagrid, and a squat wizard in a purple porkpie hat were singing ""Odo the Hero"" in the corner.Wandering through the crowd so as to escape a drunken uncle of Ron's who seemed unsure whether or not Harry was his son, Harry spotted an old wizard sitting alone at a table."
31528,"His pugnacious tone indicated that they were not about to laugh at Xenophilius, despite the clear provocation."
31493,Ron gave Harry a meaningful look as he passed and did not reappear for some time.
31466,"Sorry about last night,"" she added in a whisper as Harry led them up the aisle."
31463,"Not so fast, Your Holeyness,"" said Fred, and darting past the gaggle of middle-aged witches heading for the procession, he said, ""Here ¨C permetiez moi to assister vous,"" to a pair of pretty French girls, who giggled and allowed him to escort them inside."
31356,"The vast majority of his possessions ¨C his private library, his magical instruments, and other personal effects ¨C were left to Hogwarts."
31354,"If you were not very close to Dumbledore, how do you account for the fact that he remembered you in his will?"
31342,"We're not going anywhere,"" said Harry, while Hermione nodded vigorously."
31335,"Yes, of course,"" said Mr. Weasley, who looked nervous."
31334,"I shall tell you that when we are somewhere more private,"" said Scrimgeour."
31319,Hide anythin' in there an' no one but the owner can get it out.
31298,"She was really cut up when you ended it¨C""""So was I."
31287,"Nice view,"" he said feebly, pointing toward with window.She ignored this."
31214,"The fragment of soul inside it depends on its container, its enchanted body, for survival."
31197,This is the one that gives explicit instructions on how to make a Horcrux.
31173,"Once we've left, the ghoul's going to come and live down here in my room,"" said Ron."
31161,"I ¨C Hermione, I'm sorry ¨C I didn't ¨C """"Didn't realize that Ron and I know perfectly well what might happen if we come with you?"
31128,"Yes, good point,"" said Mrs. Weasley from the top of the table where she sat, spectacles perched on the end of her nose, scanning an immense list of jobs that she had scribbled on a very long piece of parchment."
31106,"Oh, of course not,"" said Mrs. Weasley with a sudden and rather unnerving return to her casual tone."
31104,"Probably he was telling you something he wanted done, and you took it to mean that he wanted you¨C""""I didn't misunderstand,"" said Harry flatly."
31053,"There are a dozen places you might be now, Harry,"" said Mr. Weasley."
30977,Harry had never heard Mr. Weasley shout like that before.
30934,"Second later, Harry's feet slammed onto hard ground and he fell onto his hands and knees in the yard of the Burrow."
30890,Harry looked down and saw Hagrid spread-eagled on the ground below him.
30884,"Somehow, Harry found his nose an inch from the dragon-fire button."
30872,He gazed around at the apparently empty darkness and felt its menace.
30822,"Don't forget the glasses, there's six pairs in the side pocket."
30792,"Absolutely pointless, seeing as your mother's charm does that already."
30717,"Harry hesitated, then headed back out of his room and downstairs."
30706,"Finally Uncle Vernon blurted out, ""But what about my work?"
30663,"He glanced over his shoulder, but the wall was a sickly peach color of Aunt Petunia's choosing: There was nothing blue there for the mirror to reflect."
30488,"I have been careless, and so have been thwarted by luck and chance, those wreckers of all but the best-laid plans."
30410,"Scrimgeour looked annoyed but, as before, hastily modified his expression to one of sorrowful understanding."
30378,"Harry waited for somebody else to get to their feet; he expected speeches, probably from the Minister, but nobody moved."
30369,"Dumbledore was dead, gone ... he clutched the cold locket in his hand so tightly that it hurt, but he could not prevent hot tears spilling from his eyes: he looked away from Ginny and the others and stared out over the lake, towards the Forest, as the little man in black droned on ... there was movement among the trees."
30324,The warmth of the sun caressed his face as they followed Professor McGonagall in silence to the place where hundreds of chairs had been set out in rows.
30314,"His animosity was all for Snape, but he had not forgotten the fear in Malfoy's voice on that Tower top, northe fact that he had lowered his wand before the other Death Eaters arrived."
30269,"Some excitement was caused among the younger students, who had never seen it before, when a powder-blue carriage the size of a house, pulled by a dozen giant winged palo-minos, came soaring out of the sky in the late afternoon before the funeral and landed on the edge of the Forest."
30267,"Seamus Finnigan, on the other hand, refused point-blank to accompany his mother home; they had a shouting match in the Entrance Hall which was resolved when she agreed that he could remain behind for the funeral."
30252,"Yes,"" said Harry.She let out a wail and, without waiting for the password, swung forward to admit him.As Harry had suspected it would be, the common room was jam-packed."
30220,"It was several minutes before Harry became aware that they were not heading for Professor McGonagall's office, but for Dumbledore's, and another few seconds before he realized that of course, she had been deputy headmistress, . . ."
30201,"Mrs. Weasley raised her tear-stained face, looking startled."
30142,"Gulping, Madam Pomfrey pressed her fingers to her mouth, her eyes wide."
30128,Madam Pomfrey was dabbing at his wounds with some harsh-smelling green ointment.
30109,Dumbledore had weakened himself by drinking that terrible potion for nothing.
30101,"It had opened, perhaps due to the force with which it hit the ground."
30098,"Harry reached out, straightened the half-moon spectacles upon the crooked nose, and wiped a trickle of blood from the mouth with his own sleeve."
30085,"He could imagine, clearly, the scenes inside as people moved from room to room, telling each other that Death Eaters had got in, that the Mark was shining over Hogwarts, that somebody must have been killed. . . ."
30058,"And he slashed at the air: Harry felt a white-hot, whiplike something hit him across the face and was slammed backward into the ground."
