case_number,case_summary,lang_info,case_created_date,case_typ,case_injury_typ,case_txt,country_nme,case_supervisor_nme,case_root_cause_txt,case_immediate_cause_desc,case_unsafe_act_desc,mgmt_sys_failure_desc,case_corrective_txt,case_status,case_cmts,case_clousre_inv_complete_date,case_root_cause_desc,case_reported_date,case_report_year,case_level_severity,primary_business,primary_business_segment,site_location_nme,region,case_followup_flag,month,month_year,quarter
9631,While removing root grinding machine clamps sustained with injury on right finger,en,2019-01-02T00:00:00.000Z,Injury,"Contusion, Bruise",While removing root grinding machine clamps sustained with injury on right finger,India,C H Veera Babu,"When operator lowering Bush grinding machine (FG -03) from blade root, he was in operation of portable crane  using pendant to lift & lower bush grinding machine, when lifted top arm (out of 3 arms)  butting plate was not aligned as required  to operator ,  when operator tried to hold plate he got minor injury on finger.",,Equipment/tool used improperly,Event Analysis,"1. Daily bush grinding machine operation check from maintenance person on critical check points & if any abnormalities correct the same before use. 2.Re- training of equipment handling training to concerned persons. 3. Safety awareness communication to all concerned persons., on critical check points.",0,Bush grinding machine operation daily maintenance  person check happening. Equipment handling training & safety awareness communication done.,2.0190123E7,"Inadequate job planning, instruction, supervision",2019-01-02T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Dabaspet,ASEAN/India/JP/KR,Yes,1,2019-1,Q1-2019
9632,"Electrician was removing the insulation of armored cable with the knife and IP (GE Employee) was supporting the electrician by holding the same cable from another end. During manual removal of insulation (electrician was holding the knife in his hand), the knife came in contact with IP’s left hand middle finger back side causing minor cut injury. He was wearing a cut resistant gloves but as contact was in the rear side (cotton side) the glove was ineffective in preventing injury. The contact happened while the knife was stationary so extent of injury was limited.  Incident happened at 18: 15 Hrs. and the IP resumed work on the next day.",en,2019-01-02T00:00:00.000Z,Injury,"Laceration, Cut, Open Wound","Electrician was removing the insulation of armored cable with the knife and IP (GE Employee) was supporting the electrician by holding the same cable from another end. During manual removal of insulation (electrician was holding the knife in his hand), the knife came in contact with IP’s left hand middle finger back side causing minor cut injury. He was wearing a cut resistant gloves but as contact was in the rear side (cotton side) the glove was ineffective in preventing injury. The contact happened while the knife was stationary so extent of injury was limited.  Incident happened at 18: 15 Hrs. and the IP resumed work on the next day.",India,SHISHU PAL SINGH,Electrician choose wrong position,,Employee in Danger Zone/Line of Fire,Risk Assessment,,0,All assigned actions are closed.,2.0190228E7,Inadequate procedures/work instructions/work standards,2019-01-02T00:00:00.000Z,2019,Level D,GE Renewable Energy,Hydro,Hydro - INDIA - OM and Services,ASEAN/India/JP/KR,Yes,1,2019-1,Q1-2019
9633,Employee strained his back while performing a two person lift on a roll of fiberglass that was being rolled out on the Up Wind shell of mold 1 62.2,en,2019-01-02T00:00:00.000Z,Injury,Strain,Employee strained his back while performing a two person lift on a roll of fiberglass that was being rolled out on the Up Wind shell of mold 1 62.2,US,Donald Wilson,Manually holding a roll of fiberglass overhead while it is unrolled is too heavy and awkward.  Procedure for unrolling glass needs to be changed.,Ergonomically inadequate workstation or rotation,,Ergonomics,CI has fabricated roll holders and attach points for the technicians to set the fiberglass rolls in.  This will eliminate the need for a technician to hold the roll while it is unrolled.,0,"The molders are now using the attachments, which reduces the strain from holding and rolling out the glass.",2.0190411E7,Inadequate procedures/work instructions/work standards,2019-01-02T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Little Rock,US,Yes,1,2019-1,Q1-2019
9634,"victim was working at 64.6 downwind for combi layer application. while performing activity, he was handling resin chemical. while handling resin chemical, chemical spalsh came to his eyes. he had not worn breathe easy mask properly.",en,2019-01-05T00:00:00.000Z,Injury,Eye Irritation,"victim was working at 64.6 downwind for combi layer application. while performing activity, he was handling resin chemical. while handling resin chemical, chemical spalsh came to his eyes. he had not worn breathe easy mask properly.",India,Pritesh,He had not kept breathe easy mask properly,,Proper PPE not used for task,Chemical Management,Training and awareness,0,Review with victim,2.0190216E7,Knowing misuse or abuse,2019-01-05T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Vadodara,ASEAN/India/JP/KR,Yes,1,2019-1,Q1-2019
9635,Kapamada web indirme sırasında axial guide ın saplamalara takılmasını engellemek isteyen operator axial guide profilini çekmek istemiştir. O sırada sağ el yüzük parmağı axial guide ile saplama arasına sıkışmıştır.,tr,2019-01-07T00:00:00.000Z,Injury,Crushing injury,Kapamada web indirme sırasında axial guide ın saplamalara takılmasını engellemek isteyen operator axial guide profilini çekmek istemiştir. O sırada sağ el yüzük parmağı axial guide ile saplama arasına sıkışmıştır.,Turkey,Selami Ersin Gemalmaz,Axial guide I axial guide ile saplama arasında kalabilecek bölgeden tutmak,"Inadequate guards, barriers, or warning system",Employee awareness/attentiveness,Risk Assessment,Axial guide a tutma aparatı yapılarak sıkışma bölgesine el girmesi engellenebilir. Axial guide üzerine uyarı levhası veya uyarıcı bir işaret yapılarak sıkışma bölgesi olduğu gösterilebilir.,0,tutma aparatı yapılmıştr.,2.0190116E7,"Inadequate job planning, instruction, supervision",2019-01-07T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Bergama,MENAT,Yes,1,2019-1,Q1-2019
9643,Warehouse operator who was preparing a gelcoat brush barrel for post molding department by wrapping the top of the barrel cut himself on his right forearm with a safety pin located on top of the gelcoat barrel.  The employee went to the EHS local to receive 1st aid and has been sent to the hospital for stitches. The employee received 7 stitches,en,2019-01-06T00:00:00.000Z,Injury,"Laceration, Cut, Open Wound",Warehouse operator who was preparing a gelcoat brush barrel for post molding department by wrapping the top of the barrel cut himself on his right forearm with a safety pin located on top of the gelcoat barrel.  The employee went to the EHS local to receive 1st aid and has been sent to the hospital for stitches. The employee received 7 stitches,Canada,Patrick Plourde,Sharp edge on exposed safety clip,"Sharp edge on part, workstation, or equipment","Inattention to established procedures (SOPs, JSAs)",Risk Assessment,Remove safety clip prior shipping on production floor and wrapping of drums See with Global to replace safety clip for tape,0,Already in discussion with Global about the feasibility to replace safety clip by tape,2.019011E7,Inadequate engineering,2019-01-06T00:00:00.000Z,2019,Level C,GE Renewable Energy,LM Wind Power,Gaspé,Canada,Yes,1,2019-1,Q1-2019
9644,"The employee appeared at the medical service and reported that he was getting ready to start his work, and when he put on the gloves, there was a foreign body inside (a small piece of metal) that caused a slight scratch on his left hand. The first aid was done and the employee was referred to the hospital for a detailed examination / O funcionário compareceu no serviço médico e informou que estava se preparando para iniciar o seu trabalho, e quando foi colocar as luvas, havia um corpo estranho dentro (pequeno pedaço de metal) que ocasionou um leve arranhão na sua mão esquerda. Os primeiros socorros foram feitos e o funcionário foi encaminhado ao hospital para realizar um exame detalhado",en,2019-01-04T00:00:00.000Z,Injury,"Abrasion, Scratches (superficial)","The employee appeared at the medical service and reported that he was getting ready to start his work, and when he put on the gloves, there was a foreign body inside (a small piece of metal) that caused a slight scratch on his left hand. The first aid was done and the employee was referred to the hospital for a detailed examination / O funcionário compareceu no serviço médico e informou que estava se preparando para iniciar o seu trabalho, e quando foi colocar as luvas, havia um corpo estranho dentro (pequeno pedaço de metal) que ocasionou um leve arranhão na sua mão esquerda. Os primeiros socorros foram feitos e o funcionário foi encaminhado ao hospital para realizar um exame detalhado",Brazil,ALEXANDRE Teixeira De Carvalho,Não inspeção do EPI antes de utiliza-lo,Inadequate/Faulty/No PPE assigned or available,,Housekeeping & Inspection Programs,Orientação aos operadores sobre cuidados com os EPIS e inspeção antes da utilização,0,,2.0190214E7,Inadequately maintained tools/equipment,2019-01-04T00:00:00.000Z,2019,Level D,GE Renewable Energy,Hydro,"Hydro - Taubate, Brazil",LATAM,Yes,1,2019-1,Q1-2019
9645,IP slipped on a black ice at the parking of trient offices.,en,2019-01-04T00:00:00.000Z,Injury,"Contusion, Bruise",IP slipped on a black ice at the parking of trient offices.,Multi-Country,Vuko Babovic,Some black ice patches are still present on the GE trient offices parking,"Housekeeping, unsafe placement, slip/trip hazards",,Emergency Preparedness and Response,Reinforce the message to our team about the vigilance to have during winter time. Reinforce the effort done to remove snow & black ice with the company selected.,0,Message given to our team during site weekly meeting and Tool Box Talk. Request done to the company in charge of the snow removal to fix all remaining black ice patches detected. Modification of the contract scope done.,2.0190107E7,Inadequately maintained tools/equipment,2019-01-04T00:00:00.000Z,2019,Level D,GE Renewable Energy,Hydro,Hydro - EMEA and Russia - Projects,Multi-Region,Yes,1,2019-1,Q1-2019
9669,"62.2-10#Assembling Li Yang on the chess board at 1:20 in the morning of January 9, 2019, prepare to apply the glue on the right side, adjust the glue gun, hold onto the protective belt, the human body tilts outward, one end of the protective belt The hooks fall off, causing the body to fall, and the left knee knocks to the SK glue beam",en,2019-01-09T00:00:00.000Z,Injury,"Contusion, Bruise",62.2-10#组装李阳在2019年1月9号凌晨1:20上棋隔板时，准备打右侧的胶，调整胶枪，手扶到防护带上，人体向外倾斜，防护带一端的挂钩脱落，导致身体掉落，左侧膝盖磕到SK胶横梁,China,Botao Zhang,62.2-10＃组装李阳在2019年1月9号凌晨1:20上棋隔板时，准备打右侧的胶，调整胶枪，手扶到防护带上，人体向外倾斜，防护带一端的挂钩脱落，导致身体掉落，左侧膝盖磕到SK胶横梁,Defective/worn/maladjusted tool/equipment,Equipment/tool used improperly,Risk Assessment,,0,已关闭，详情见附件,2.0190113E7,Inadequate Control System Setup or Failure,2019-01-09T00:00:00.000Z,2019,Level D,GE Renewable Energy,LM Wind Power,Qinhuangdao,Greater China,Yes,1,2019-1,Q1-2019
9671,Worker fell while walking in the front parking lot to office to main doors in Brossard,en,2019-01-09T00:00:00.000Z,Injury,"Contusion, Bruise",Worker fell while walking in the front parking lot to office to main doors in Brossard,Canada,Caroline Gevry,worker stepped onto side of curb unknowing- could not see due to snow accumulation,"Wet, icy, snowy road or walkway",,Preventive Maintenance,1. verify with facilities adequate supply of ice melt and clearing protocol to include curb deliniation,0,ice melt regularly applied- validated with office personnel and contract language,2.0190114E7,Work environment not controlled by GE,2019-01-09T00:00:00.000Z,2019,Level D,GE Renewable Energy,Hydro,"Hydro - Tracy, Quebec, Canada",Canada,Yes,1,2019-1,Q1-2019
